                                                                                                                                                                                                                                                                            28 Jan 2026 18:20:01
SatelliteCollection-constellation


RowNumber          Name               Epoch (UTCG)          Ephemeris Start Time (UTCG)    Ephemeris Stop Time (UTCG)     ID    Shell    Plane    Slot    Altitude (km)    SemimajorAxis (km)    Eccentricity    Inclination (deg)    ArgumentOfPerigee (deg)    RAAN (deg)    TrueAnomaly (deg)
---------    ---------------    ------------------------    ---------------------------    --------------------------    ---    -----    -----    ----    -------------    ------------------    ------------    -----------------    -----------------------    ----------    -----------------
        1    Shell_1_P01_S01    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      0    1        01       1          949.863000           7328.000000        0.000000               62.900                      0.000       183.500                0.000
        2    Shell_1_P01_S02    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      1    1        01       2          949.863000           7328.000000        0.000000               62.900                      0.000       183.500               18.000
        3    Shell_1_P01_S03    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      2    1        01       3          949.863000           7328.000000        0.000000               62.900                      0.000       183.500               36.000
        4    Shell_1_P01_S04    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      3    1        01       4          949.863000           7328.000000        0.000000               62.900                      0.000       183.500               54.000
        5    Shell_1_P01_S05    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      4    1        01       5          949.863000           7328.000000        0.000000               62.900                      0.000       183.500               72.000
        6    Shell_1_P01_S06    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      5    1        01       6          949.863000           7328.000000        0.000000               62.900                      0.000       183.500               90.000
        7    Shell_1_P01_S07    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      6    1        01       7          949.863000           7328.000000        0.000000               62.900                      0.000       183.500              108.000
        8    Shell_1_P01_S08    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      7    1        01       8          949.863000           7328.000000        0.000000               62.900                      0.000       183.500              126.000
        9    Shell_1_P01_S09    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      8    1        01       9          949.863000           7328.000000        0.000000               62.900                      0.000       183.500              144.000
       10    Shell_1_P01_S10    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000      9    1        01       10         949.863000           7328.000000        0.000000               62.900                      0.000       183.500              162.000
       11    Shell_1_P01_S11    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     10    1        01       11         949.863000           7328.000000        0.000000               62.900                      0.000       183.500              180.000
       12    Shell_1_P01_S12    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     11    1        01       12         949.863000           7328.000000        0.000000               62.900                      0.000       183.500              198.000
