Per-Satellite Output Data
(Mandatory as per problem statement)

Sat ID	Plane	a (km)	i (deg)	Ω (deg)	ω (deg)	ν (deg)	Total Coverage (min)
Sat-1	01	7328.000	62.9	183.5	0.0	0.0	65.59
Sat-2	01	7328.000	62.9	183.5	0.0	18.0	65.61
Sat-3	01	7328.000	62.9	183.5	0.0	36.0	65.50
Sat-4	01	7328.000	62.9	183.5	0.0	54.0	65.26
Sat-5	01	7328.000	62.9	183.5	0.0	72.0	69.24
Sat-6	01	7328.000	62.9	183.5	0.0	90.0	72.97
Sat-7	01	7328.000	62.9	183.5	0.0	108.0	77.16
Sat-8	01	7328.000	62.9	183.5	0.0	126.0	79.47
Sat-9	01	7328.000	62.9	183.5	0.0	144.0	80.97
Sat-10	01	7328.000	62.9	183.5	0.0	162.0	81.91
Sat-11	01	7328.000	62.9	183.5	0.0	180.0	82.38
Sat-12	01	7328.000	62.9	183.5	0.0	198.0	82.43
Sat-13	01	7328.000	62.9	183.5	0.0	216.0	82.05
Sat-14	01	7328.000	62.9	183.5	0.0	234.0	81.21
Sat-15	01	7328.000	62.9	183.5	0.0	252.0	79.84
Sat-16	01	7328.000	62.9	183.5	0.0	270.0	77.74
Sat-17	01	7328.000	62.9	183.5	0.0	288.0	74.23
Sat-18	01	7328.000	62.9	183.5	0.0	306.0	69.64
Sat-19	01	7328.000	62.9	183.5	0.0	324.0	66.40
Sat-20	01	7328.000	62.9	183.5	0.0	342.0	65.46
Sat-21	02	7328.000	62.9	219.5	0.0	18.0	81.33
Sat-22	02	7328.000	62.9	219.5	0.0	36.0	82.09
Sat-23	02	7328.000	62.9	219.5	0.0	54.0	82.40
Sat-24	02	7328.000	62.9	219.5	0.0	72.0	82.28
Sat-25	02	7328.000	62.9	219.5	0.0	90.0	81.74
Sat-26	02	7328.000	62.9	219.5	0.0	108.0	80.71
Sat-27	02	7328.000	62.9	219.5	0.0	126.0	79.10
Sat-28	02	7328.000	62.9	219.5	0.0	144.0	76.60
Sat-29	02	7328.000	62.9	219.5	0.0	162.0	71.30
Sat-30	02	7328.000	62.9	219.5	0.0	180.0	68.69
Sat-31	02	7328.000	62.9	219.5	0.0	198.0	65.30
Sat-32	02	7328.000	62.9	219.5	0.0	216.0	65.51
Sat-33	02	7328.000	62.9	219.5	0.0	234.0	65.60
Sat-34	02	7328.000	62.9	219.5	0.0	252.0	65.57
Sat-35	02	7328.000	62.9	219.5	0.0	270.0	65.41
Sat-36	02	7328.000	62.9	219.5	0.0	288.0	67.08
Sat-37	02	7328.000	62.9	219.5	0.0	306.0	69.79
Sat-38	02	7328.000	62.9	219.5	0.0	324.0	74.92
Sat-39	02	7328.000	62.9	219.5	0.0	342.0	78.09
Sat-40	02	7328.000	62.9	219.5	0.0	360.0	80.05
